Labels,T20_100ms_repeat2,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

3.44E08,7.788E+3,
3.444E008,7.804E+3,
3.448E008,7.910E+3,
3.452E008,7.825E+3,
3.456E008,7.789E+3,
3.46E08,7.652E+3,
3.464E008,7.739E+3,
3.468E008,7.697E+3,
3.472E008,7.664E+3,
3.476E008,7.759E+3,
3.48E08,7.735E+3,
3.484E008,7.850E+3,
3.488E008,7.807E+3,
3.492E008,7.800E+3,
3.496E008,7.786E+3,
3.5E08,7.752E+3,
3.504E008,7.886E+3,
3.508E008,7.752E+3,
3.512E008,7.788E+3,
3.516E008,7.745E+3,
3.52E08,7.961E+3,
3.524E008,7.650E+3,
3.528E008,7.788E+3,
3.532E008,7.811E+3,
3.536E008,7.895E+3,
3.54E08,7.798E+3,
3.544E008,7.835E+3,
3.548E008,7.702E+3,
3.552E008,7.762E+3,
3.556E008,7.778E+3,
3.56E08,7.747E+3,
3.564E008,7.918E+3,
3.568E008,7.742E+3,
3.572E008,7.899E+3,
3.576E008,7.607E+3,
3.58E08,7.580E+3,
3.584E008,7.899E+3,
3.588E008,7.780E+3,
3.592E008,7.864E+3,
3.596E008,7.841E+3,
3.6E08,7.866E+3,
3.604E008,7.718E+3,
3.608E008,7.699E+3,
3.612E008,7.875E+3,
3.616E008,7.668E+3,
3.62E08,7.656E+3,
3.624E008,7.747E+3,
3.628E008,7.805E+3,
3.632E008,7.777E+3,
3.636E008,7.776E+3,
3.64E08,7.805E+3,
3.644E008,7.875E+3,
3.648E008,7.800E+3,
3.652E008,7.824E+3,
3.656E008,7.887E+3,
3.66E08,7.851E+3,
3.664E008,7.784E+3,
3.668E008,7.806E+3,
3.672E008,7.794E+3,
3.676E008,7.806E+3,
3.68E08,7.944E+3,
3.684E008,7.811E+3,
3.688E008,7.538E+3,
3.692E008,8.019E+3,
3.696E008,7.854E+3,
3.7E08,7.842E+3,
3.704E008,7.934E+3,
3.708E008,7.775E+3,
3.712E008,7.684E+3,
3.716E008,7.721E+3,
3.72E08,7.749E+3,
3.724E008,7.959E+3,
3.728E008,7.769E+3,
3.732E008,7.908E+3,
3.736E008,7.942E+3,
3.74E08,7.524E+3,
3.744E008,7.819E+3,
3.748E008,7.734E+3,
3.752E008,7.911E+3,
3.756E008,7.577E+3,
3.76E08,7.756E+3,
3.764E008,7.759E+3,
3.768E008,7.778E+3,
3.772E008,7.787E+3,
3.776E008,7.828E+3,
3.78E08,7.693E+3,
3.784E008,7.731E+3,
3.788E008,7.867E+3,
3.792E008,7.698E+3,
