Labels,5p5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

3.62E08,1.086E+4,
3.624E008,1.084E+4,
3.628E008,1.100E+4,
3.632E008,1.085E+4,
3.636E008,1.090E+4,
3.64E08,1.088E+4,
3.644E008,1.080E+4,
3.648E008,1.068E+4,
3.652E008,1.086E+4,
3.656E008,1.062E+4,
3.66E08,1.092E+4,
3.664E008,1.088E+4,
3.668E008,1.096E+4,
3.672E008,1.077E+4,
3.676E008,1.070E+4,
3.68E08,1.108E+4,
3.684E008,1.089E+4,
3.688E008,1.095E+4,
3.692E008,1.093E+4,
3.696E008,1.102E+4,
3.7E08,1.076E+4,
3.704E008,1.087E+4,
3.708E008,1.090E+4,
3.712E008,1.093E+4,
3.716E008,1.108E+4,
3.72E08,1.094E+4,
3.724E008,1.114E+4,
3.728E008,1.094E+4,
3.732E008,1.093E+4,
3.736E008,1.074E+4,
3.74E08,1.097E+4,
3.744E008,1.093E+4,
3.748E008,1.075E+4,
3.752E008,1.088E+4,
3.756E008,1.076E+4,
3.76E08,1.087E+4,
3.764E008,1.066E+4,
3.768E008,1.101E+4,
3.772E008,1.075E+4,
3.776E008,1.095E+4,
3.78E08,1.081E+4,
3.784E008,1.099E+4,
3.788E008,1.116E+4,
3.792E008,1.098E+4,
3.796E008,1.074E+4,
3.8E08,1.084E+4,
3.804E008,1.080E+4,
3.808E008,1.090E+4,
