Labels,T27_decay_canolaOil,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.1175E0007,5.086E+3,
2.12E07,4.998E+3,
2.1225E0007,5.036E+3,
2.125E007,5.131E+3,
2.1275E0007,5.079E+3,
2.13E07,5.012E+3,
2.1325E0007,5.044E+3,
2.135E007,5.103E+3,
2.1375E0007,5.141E+3,
2.14E07,4.936E+3,
2.1425E0007,4.983E+3,
2.145E007,4.978E+3,
2.1475E0007,4.907E+3,
2.15E07,4.935E+3,
2.1525E0007,5.059E+3,
2.155E007,5.037E+3,
2.1575E0007,5.037E+3,
2.16E07,5.036E+3,
2.1625E0007,4.987E+3,
2.165E007,5.061E+3,
2.1675E0007,4.874E+3,
2.17E07,4.923E+3,
2.1725E0007,4.931E+3,
2.175E007,4.936E+3,
2.1775E0007,4.792E+3,
2.18E07,4.877E+3,
2.1825E0007,4.825E+3,
2.185E007,4.821E+3,
2.1875E0007,4.784E+3,
2.19E07,4.731E+3,
2.1925E0007,4.747E+3,
2.195E007,4.891E+3,
2.1975E0007,4.711E+3,
2.2E07,4.855E+3,
2.2025E0007,4.776E+3,
2.205E007,4.791E+3,
2.2075E0007,4.792E+3,
2.21E07,4.761E+3,
2.2125E0007,4.796E+3,
2.215E007,4.764E+3,
2.2175E0007,4.740E+3,
2.22E07,4.647E+3,
2.2225E0007,4.583E+3,
2.225E007,4.598E+3,
2.2275E0007,4.580E+3,
2.23E07,4.652E+3,
2.2325E0007,4.682E+3,
2.235E007,4.773E+3,
2.2375E0007,4.537E+3,
2.24E07,4.615E+3,
2.2425E0007,4.662E+3,
2.245E007,4.633E+3,
2.2475E0007,4.577E+3,
2.25E07,4.626E+3,
2.2525E0007,4.658E+3,
2.255E007,4.374E+3,
2.2575E0007,4.485E+3,
2.26E07,4.505E+3,
2.2625E0007,4.602E+3,
2.265E007,4.474E+3,
2.2675E0007,4.559E+3,
